Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 65.0.3325.181,,2018-05-14 12:07:51,2018-05-14 12:08:09,17.999s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 65.0.3325.181,,2018-05-14 12:07:51,2018-05-14 12:08:01,9.773s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-14 12:07:51,2018-05-14 12:07:54,2.737s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-05-14 12:07:54,2018-05-14 12:08:00,6.084s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-14 12:08:00,2018-05-14 12:08:01,0.721s,PASSED
,,,,,,
Test Cases/Test 2 by Kim,Chrome 65.0.3325.181,,2018-05-14 12:08:01,2018-05-14 12:08:09,7.910s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-05-14 12:08:01,2018-05-14 12:08:08,7.068s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-05-14 12:08:08,2018-05-14 12:08:09,0.699s,PASSED
